run,snr_db,SER,n_errors,n_symbols
mask_ce_U8,15.0,0.0000129089,2115,163840000
mask_ce_U8,20.0,0.0000057739,946,163840000
mask_ce_U8,25.0,0.0000043518,713,163840000
mask_nce0.01_U8,15.0,0.0000052917,867,163840000
mask_nce0.01_U8,20.0,0.0000023254,381,163840000
mask_nce0.01_U8,25.0,0.0000018494,303,163840000
mask_nce0.0001_U8,15.0,0.0000114868,1882,163840000
mask_nce0.0001_U8,20.0,0.0000048401,793,163840000
mask_nce0.001_U8,15.0,0.0000047119,772,163840000
mask_nce0.001_U8,20.0,0.0000020813,341,163840000
mask_nce0.1_U8,15.0,0.0000058228,954,163840000
mask_nce0.1_U8,20.0,0.0000027100,444,163840000
binary_nce_U8,20.0,0.0000169434,2776,163840000
mask_ce_U4,10.0,0.0000005391,53,98304000
mask_nce0.01_U4,10.0,0.0000006816,67,98304000
